"","LATITUDE","LONGITUDE","Landcover","START","DURATION"
"203",33.8803,-109.9534,187,1115994840,0.0833333333333333
"204",33.83474,-109.86746,187,1409310480,1.86666666666667
"205",33.7814,-109.6487,187,1215276300,0.25
"206",34.118333,-109.38,187,1249317000,18.5
"208",33.82294,-109.81193,187,1398615840,19.1833333333333
"210",33.7837,-110.0184,187,1120388580,3.95
"211",33.872,-109.5995,187,1120650180,245.283333333333
"212",34.08722222,-109.34194444,187,1432305960,0.616666666666667
"213",35.66299,-109.07221,187,1402760880,3.78333333333333
"214",34.17555556,-109.68472222,187,1184937120,22.8
"215",33.8511,-109.6347,187,1122119280,0.95
"217",33.7864,-109.5981,187,1215276780,27.1166666666667
"218",34.11611111,-109.49083333,187,1141642800,0.5
"219",33.8567009,-109.1676025,187,1338215280,3.53333333333333
"221",34.17611111,-109.61777778,187,1340107200,24.8333333333333
"224",33.95277778,-109.36277778,187,1147694400,5
"225",33.7375,-109.49416667,187,1117458000,26
"226",33.89166667,-109.25555556,187,1119267000,0.5
"227",35.3292,-109.0756,187,1224242940,0.65
"229",33.5463889,-109.105556,187,1279980000,551.25
"230",33.7489,-109.8164,187,1344342540,316.516666666667
"231",33.8023,-109.9179,187,1119277020,1.11666666666667
"232",34.21416667,-109.765,187,1405599780,26.05
"233",35.61747,-109.07972,187,1276603860,1.28333333333333
"234",33.9178,-109.8045,187,1248084540,8.85
"235",33.7989,-110.0248,187,1208449560,1.81666666666667
"236",33.887,-109.8459,187,1247920200,96
"237",33.9873,-109.9143,187,1287919500,3.08333333333333
"238",35.05,-109.4007,187,1184945400,1.5
"239",33.7861,-110.0172,187,1339713240,36.2333333333333
"241",33.98083333,-109.44416667,187,1132237800,3.5
"242",33.965,-109.50277778,187,1180882800,0.166666666666667
"243",33.9514,-109.9515,187,1122217200,2
"244",33.9878,-109.7762,187,1154011140,1.35
"245",33.8212,-109.9951,187,1146072180,0.533333333333333
"246",33.8206,-109.9751,187,1147016580,0.783333333333333
"247",33.63083333,-109.30722222,187,1121535900,19.25
"248",34.07583333,-109.49666667,187,1247320560,48.9666666666667
"249",33.68583333,-109.27972222,187,1121788800,48.5
"250",33.7617,-109.7615,187,1153315260,2.15
"252",33.9,-109.9345,187,1112557980,1.45
"253",34.99766,-109.25807,187,1372870860,4.55
"254",33.8158,-109.9611,187,1340553000,20.6666666666667
"255",33.8283,-109.975,187,1351543620,0.216666666666667
"258",33.9322,-110.0194,187,1252681620,21.8833333333333
"259",34.1625,-109.64222222,187,1180804800,0.833333333333333
"260",33.8834,-109.9507,187,1116687600,2.5
"262",33.77672,-109.73243,187,1251991800,44.3333333333333
"263",33.94544,-109.93011,187,1303578000,25
"264",33.9734,-109.7982,187,1152197340,1.18333333333333
"265",34.025,-109.47555556,187,1337805000,89.5
"267",35.2744,-109.1558,187,1336831020,1.3
"268",33.88361111,-109.23194444,187,1154082600,3.71666666666667
"269",33.92696,-109.94707,187,1400766300,20.7833333333333
"270",33.8998,-109.9723,187,1284753600,18.55
"271",33.76938,-110.02863,187,1365159600,3.15
"273",33.7842,-110.0217,187,1392640500,24.9166666666667
"274",33.98,-109.7258,187,1372959000,43
"276",33.6123,-110.0598,187,1183818120,5.13333333333333
"277",33.7945,-109.9979,187,1145286660,1.81666666666667
"278",34.11916667,-109.62666667,187,1408283100,23.4166666666667
"279",33.83694444,-109.09666667,187,1149521400,20.5
"281",34.21416667,-109.70277778,187,1435663800,0.666666666666667
"282",33.8334,-109.7687,187,1122200400,31.1666666666667
"283",33.65511,-110.15069,187,1435670640,361
"284",34.0653,-109.8573,187,1145786400,7
"285",34.9096,-114.5846,187,1411928400,5.46666666666667
"286",34.13555556,-109.50083333,187,1342805400,20.3333333333333
"287",33.97333333,-109.205,187,1121700600,2.5
"288",34.9923,-109.0479,187,1151695740,15.5166666666667
"289",35.43005,-109.12416,187,1343065860,22.3
"291",33.641,-110.20281,187,1436878920,25.4166666666667
